 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-23T08:43:06.413
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-23T08:40:30.474
 Solar longitude (130 km)                     [deg] :      202.27
 Planet to Sun distance (130 km)          [10^6 km] :     107.752
 North planetary latitude (130 km)            [deg] :      -51.52
 East planetary longitude (130 km)            [deg] :       48.74
 Sub-solar north planetary latitude (130 km)  [deg] :       -1.00
 Sub-solar east planetary longitude (130 km)  [deg] :       99.48
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       15.38
 Solar zenith angle (130 km)                  [deg] :       65.96
 Electron density (130 km)               [10^6/m^3] :   161355.97
 
=============================================================================

Altitude	ELECTRON NUMBER DENSITY
1874.068	4790.86
1873.701	4414.57
1873.331	4036.51
1872.96	4029.48
1872.59	4142.02
1872.22	4036.51
1871.851	3827.26
1871.479	3902.87
1871.111	3779.79
1870.741	3429.87
1870.372	3190.72
1870.001	3000.82
1869.633	2631.55
1869.262	2390.65
1868.89	2573.53
1868.52	2890.04
1868.15	2963.89
1867.78	2893.56
1867.409	3046.54
1867.042	2925.21
1866.671	2566.49
1866.301	2445.16
1865.93	2689.58
1865.56	2907.62
1865.189	3076.43
1864.817	3494.93
1864.45	3609.22
1864.079	3461.52
1863.71	3447.45
1863.338	3538.89
1862.971	3389.42
1862.601	3222.38
1862.229	3348.98
1861.859	3552.95
1861.49	3523.06
1861.12	3410.52
1860.748	3621.53
1860.38	3656.7
1860.01	3479.1
1859.64	3408.77
1859.27	3373.6
1858.902	3088.74
1858.532	2840.8
1858.16	2965.65
1857.79	3203.03
1857.421	3174.9
1857.051	3027.19
1856.679	3199.52
1856.311	3211.82
1855.94	3081.7
1855.57	3203.03
1855.199	3589.88
1854.83	3790.34
1854.46	3788.58
1854.088	4050.58
1853.72	4094.54
1853.349	3946.83
1852.98	4018.93
1852.608	4182.46
1852.241	4027.72
1851.871	3788.58
1851.5	3829.02
1851.13	3952.11
1850.761	3825.5
1850.391	3621.53
1850.019	3793.85
1849.651	3860.67
1849.28	3763.96
1848.911	3760.44
1848.54	3705.93
1848.173	3317.33
1847.803	2918.17
1847.432	2886.52
1847.062	3016.64
1846.692	2974.44
1846.322	2865.42
1845.95	3094.01
1845.582	3159.07
1845.211	3016.64
1844.842	2995.54
1844.471	3136.21
1844.102	3116.87
1843.732	2990.27
1843.361	3174.9
1842.993	3143.25
1842.622	2934
1842.252	2953.34
1841.881	3085.22
1841.514	2921.69
1841.144	2670.24
1840.772	2679.03
1840.403	2744.09
1840.034	2587.59
1839.664	2360.76
1839.292	2424.06
1838.924	2327.35
1838.553	2109.31
1838.183	2102.28
1837.812	2146.24
1837.445	1843.79
1837.076	1478.05
1836.704	1493.87
1836.333	1718.95
1835.964	1743.56
1835.594	1602.89
1835.223	1683.78
1834.855	1560.69
1834.484	1332.1
1834.114	1409.47
1833.743	1711.91
1833.374	1704.88
1833.005	1434.09
1832.634	1435.85
1832.266	1344.41
1831.894	1295.17
1831.523	1662.68
1831.15	2235.92
1830.783	2489.12
1830.413	2543.63
1830.042	2703.65
1829.673	2796.84
1829.304	2608.7
1828.934	2408.24
1828.562	2580.56
1828.195	2561.22
1827.824	2339.66
1827.454	2297.46
1827.083	2374.83
1826.716	2198.99
1826.346	1947.54
1825.975	1938.75
1825.605	1989.74
1825.236	1833.24
1824.866	1667.95
1824.494	1866.65
1824.126	1884.24
1823.755	1717.19
1823.385	1724.22
1823.015	1889.51
1822.647	1780.49
1822.277	1481.56
1821.905	1523.77
1821.537	1456.95
1821.166	1312.76
1820.796	1476.29
1820.424	1833.24
1820.056	1984.46
1819.685	2104.04
1819.314	2438.13
1818.945	2708.92
1818.576	2605.18
1818.207	2323.84
1817.835	2339.66
1817.468	2197.23
