
 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-21T08:54:10.722
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-21T08:51:30.013
 Solar longitude (130 km)                     [deg] :      199.05
 Planet to Sun distance (130 km)          [10^6 km] :     107.785
 North planetary latitude (130 km)            [deg] :      -51.12
 East planetary longitude (130 km)            [deg] :       45.29
 Sub-solar north planetary latitude (130 km)  [deg] :       -0.86
 Sub-solar east planetary longitude (130 km)  [deg] :       93.31
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       15.20
 Solar zenith angle (130 km)                  [deg] :       64.44
 Electron density (130 km)               [10^6/m^3] :   183276.34

=============================================================================

Altitude	ELECTRON NUMBER DENSITY
679.455	-235.62
679.094	-205.73
678.732	-283.1
678.368	-38.68
678.009	-94.95
677.646	-385.09
677.285	-414.98
676.922	-323.54
676.563	-573.24
676.201	-900.3
675.838	-856.34
675.476	-659.4
675.114	-687.53
674.752	-754.35
674.388	-406.19
674.029	-323.54
673.666	-508.18
673.305	-494.11
672.942	-244.42
672.582	-260.24
672.22	-495.87
671.857	-367.5
671.497	-441.36
671.134	-648.85
670.772	-509.93
670.409	-216.28
670.05	-341.13
669.689	-625.99
669.326	-569.72
668.963	-344.65
668.602	-332.34
668.241	-400.91
667.877	-131.88
667.518	-179.36
667.155	-430.81
666.793	-355.2
666.43	-149.46
666.072	-353.44
665.71	-675.22
665.347	-615.44
664.985	-407.95
664.624	-450.15
664.262	-582.03
663.898	-334.1
663.539	-297.17
663.176	-467.73
662.815	-427.29
662.453	-179.36
662.093	-256.73
661.731	-587.3
661.368	-557.41
661.009	-680.5
660.645	-831.72
660.283	-589.06
659.919	-172.32
659.56	-123.09
659.199	-244.42
658.836	-98.47
658.475	66.82
658.114	-140.67
657.753	-458.94
657.389	-327.06
657.03	-344.65
656.666	-432.57
656.304	-188.15
655.941	123.09
655.583	-35.17
655.222	-371.02
654.859	-372.78
654.497	-193.42
654.136	-233.87
653.775	-422.01
653.412	-327.06
653.053	-524
652.69	-900.3
652.328	-940.74
651.966	-641.81
651.605	-555.65
651.244	-722.7
650.881	-603.13
650.522	-771.94
650.159	-1109.55
649.797	-1060.31
649.434	-784.24
649.075	-842.27
648.713	-1007.56
648.35	-882.71
647.989	-699.84
647.628	-801.83
647.266	-946.02
646.902	-634.78
646.543	-545.1
646.18	-654.12
645.818	-434.32
645.455	-17.58
645.096	54.51
644.734	-19.34
644.372	130.12
644.011	247.93
643.651	-31.65
643.29	-485.32
642.927	-532.79
642.568	-717.43
642.205	-972.39
641.842	-819.41
641.48	-307.72
641.119	-65.06
640.758	-147.71
640.395	0
640.036	-156.5
639.674	-504.66
639.313	-571.48
638.95	-487.08
