The full VeRa data can be accessed via the https://fip-koeln.de/marsvera-data-archive/?lang=en after asking for access to the server.
-----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-22T08:48:37.621
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-22T08:45:59.339
 Solar longitude (130 km)                     [deg] :      200.66
 Planet to Sun distance (130 km)          [10^6 km] :     107.768
 North planetary latitude (130 km)            [deg] :      -51.25
 East planetary longitude (130 km)            [deg] :       47.03
 Sub-solar north planetary latitude (130 km)  [deg] :       -0.93
 Sub-solar east planetary longitude (130 km)  [deg] :       96.40
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       15.29
 Solar zenith angle (130 km)                  [deg] :       65.15
 Electron density (130 km)               [10^6/m^3] :   192030.12

===========================================================================

Altitude	ELECTRON NUMBER DENSITY
811.633	-196.94
811.266	-172.32
810.904	-321.79
810.539	-610.16
810.174	-597.85
809.808	-451.91
809.447	-659.4
809.082	-919.64
808.716	-777.21
808.351	-518.73
807.988	-594.34
807.624	-840.51
807.258	-761.39
806.896	-895.02
806.53	-1123.61
806.166	-995.25
805.799	-701.6
805.438	-750.83
805.073	-873.92
804.707	-706.87
804.344	-569.72
803.981	-856.34
803.618	-1387.37
803.252	-1605.42
802.89	-1937.75
802.524	-2280.64
802.159	-2229.65
801.794	-1906.1
801.431	-1890.28
801.067	-2168.1
800.701	-2171.62
800.34	-2426.59
799.974	-2815.19
799.609	-2794.09
799.243	-2512.75
798.881	-2530.33
798.517	-2706.17
798.151	-2644.63
797.787	-2502.2
797.423	-2569.02
797.059	-2648.14
796.693	-2363.28
796.331	-2407.24
795.966	-2765.96
795.603	-2962.9
795.237	-3003.34
794.875	-3233.69
794.51	-3337.43
794.143	-2931.25
793.779	-2440.65
793.416	-2409
793.052	-2671
792.687	-2704.41
792.325	-2991.03
791.96	-3413.05
791.596	-3495.69
791.23	-3228.41
790.867	-3126.43
790.502	-3144.01
790.136	-2783.54
789.774	-2714.96
789.409	-2903.11
789.044	-2813.43
788.678	-2470.55
788.316	-2329.87
787.951	-2206.79
787.585	-1802.36
787.221	-1441.88
786.859	-1524.53
786.496	-1872.69
786.13	-1964.13
785.769	-2314.05
785.404	-2813.43
785.039	-2936.52
784.673	-2797.61
784.311	-2871.46
783.946	-2927.73
783.58	-2593.63
783.216	-2173.38
782.853	-2103.04
782.489	-2234.92
782.123	-2104.8
781.762	-2248.99
781.396	-2551.43
781.032	-2495.16
780.667	-2066.11
780.303	-1888.52
779.94	-2008.09
779.574	-1907.86
779.213	-2185.69
778.849	-2729.03
778.485	-2996.31
778.119	-3033.23
777.757	-3254.79
777.392	-3430.63
777.026	-3198.52
776.662	-2890.8
776.299	-2924.21
775.935	-3082.47
775.568	-2815.19
775.207	-2767.71
774.842	-2957.62
774.478	-2906.63
774.112	-2707.93
773.75	-2808.16
773.386	-3003.34
773.021	-2924.21
772.657	-2787.06
772.294	-2943.55
771.93	-3254.79
771.565	-3325.13
771.204	-3775.27
770.839	-4457.53
770.475	-4735.36
770.11	-4561.28
769.747	-4573.59
769.383	-4869
769.017	-4916.47
768.656	-5232.98
768.291	-5705.99
767.927	-5857.22
767.561	-5858.97
767.2	-6180.76
766.835	-6493.75
766.469	-6375.94
766.105	-6119.22
765.742	-6163.18
765.378	-6379.46
765.012	-6231.75
764.65	-6273.95
764.285	-6484.96
763.921	-6449.79
763.555	-6314.4
763.193	-6430.45
762.828	-6449.79
762.462	-6018.99
762.098	-5486.19
761.734	-5268.15
761.37	-5206.61
761.004	-4812.73
760.643	-4719.53
760.278	-4944.61
759.915	-4997.36
759.55	-4774.04
759.187	-4735.36
758.823	-4819.76
758.456	-4471.6
758.094	-4292.24
757.729	-4258.83
757.364	-3926.5
756.999	-3471.07
756.638	-3441.18
756.274	-3548.44
755.908	-3284.68
755.544	-2873.22
755.18	-2720.24
754.817	-2709.69
754.451	-2386.14
754.09	-2372.08
753.725	-2605.94
753.361	-2602.43
752.996	-2505.71
752.635	-2730.79
752.27	-2908.39
751.904	-2612.98
751.54	-2171.62
751.177	-2018.64
750.812	-1985.23
750.446	-1549.15
750.084	-1336.38
749.72	-1385.62
749.356	-1294.18
748.992	-1062.07
748.63	-1130.65
748.266	-1389.13
747.9	-1267.8
747.539	-1362.76
747.174	-1663.44
746.81	-1695.09
746.445	-1564.97
746.084	-1737.29
745.719	-1932.48
745.354	-1737.29
744.99	-1434.85
744.626	-1413.75
744.262	-1462.98
743.896	-1076.14
743.534	-861.61
743.168	-789.52
742.804	-437.84
742.439	24.62
742.078	54.51
741.714	-105.5
741.349	21.1
740.985	247.93
740.622	193.42
740.259	-26.38
739.894	38.68
739.533	-193.42
739.168	-640.06
738.805	-828.2
738.44	-757.87
738.078	-909.09
737.714	-1197.47
737.348	-1023.39
736.986	-986.46
736.62	-1063.83
736.256	-837
735.891	-481.8
735.529	-502.9
735.166	-689.29
734.801	-647.09
734.437	-585.55
734.074	-763.14
733.71	-895.02
733.344	-501.14
732.982	-305.96
732.617	-385.09
732.253	-274.31
731.888	-68.58
731.527	-214.52
731.163	-464.22
730.799	-432.57
730.435	-363.99
730.072	-597.85
729.709	-895.02
729.343	-727.98
728.981	-749.08
728.616	-951.29
728.252	-866.89
727.888	-531.04
727.525	-520.49
727.162	-831.72
726.797	-819.41
726.435	-942.5
726.07	-1165.82
725.706	-1039.21
725.34	-719.18
724.978	-689.29
724.614	-698.08
724.249	-395.64
723.885	-91.44
723.523	-191.67
723.16	-455.42
722.794	-295.41
722.432	-277.83
722.067	-402.67
721.703	-253.21
721.338	40.44
720.977	-14.07
720.613	-160.01
720.248	-15.83
719.885	94.95
719.523	-233.87
719.16	-742.04
718.794	-837
718.433	-1121.86
718.068	-1559.7
717.704	-1635.31
717.339	-1357.48
716.977	-1320.55
716.613	-1591.35
716.248	-1615.97
715.887	-1914.89
715.522	-2347.46
715.158	-2350.97
714.792	-2053.81
714.431	-2022.15
714.067	-2129.42
713.702	-2004.57
713.339	-1890.28
712.976	-2127.66
712.613	-2460
712.247	-2356.25
711.885	-2412.52
711.52	-2597.15
711.156	-2468.79
710.791	-2206.79
710.43	-2319.32
710.066	-2519.78
709.701	-2361.53
709.337	-2104.8
708.975	-2141.73
708.611	-2270.09
708.245	-2016.88
707.884	-1992.26
707.519	-2132.93
707.155	-1976.44
706.79	-1517.5
706.427	-1299.45
706.064	-1324.07
705.699	-1053.28
705.338	-1095.48
704.973	-1352.21
704.609	-1310
704.244	-1095.48
703.883	-1174.61
703.519	-1273.08
703.154	-988.22
702.79	-631.26
702.428	-655.88
702.065	-907.33
701.7	-875.68
701.339	-1104.27
700.974	-1491.12
700.61	-1536.84
700.245	-1352.21
699.883	-1380.34
699.519	-1329.35
699.153	-870.41
698.79	-418.5
698.428	-464.22
698.065	-812.38
697.7	-847.55
697.339	-1088.45
696.974	-1452.43
696.61	-1466.5
696.246	-1165.82
695.883	-1123.61
695.52	-1318.8
695.155	-1213.29
694.794	-1417.27
694.43	-1826.97
694.066	-1913.13
693.701	-1786.53
693.339	-1881.48
692.975	-1958.85
692.61	-1654.65
692.246	-1244.94
691.883	-1148.23
691.52	-1241.43
691.155	-1051.52
690.794	-1167.57
690.43	-1494.64
690.066	-1542.11
689.701	-1422.54
689.34	-1572.01
688.976	-1747.85
688.611	-1561.46
688.247	-1294.18
687.885	-1355.72
687.522	-1582.56
687.156	-1438.37
686.795	-1489.36
686.43	-1717.95
686.067	-1696.85
685.703	-1420.78
685.34	-1364.51
684.977	-1455.95
684.611	-1130.65
684.25	-1030.42
683.885	-1164.06
683.522	-1042.73
683.157	-800.07
682.796	-919.64
682.432	-1074.38
682.067	-800.07
681.703	-399.16
681.341	-372.78
680.978	-666.43
680.614	-778.97
680.253	-1164.06
679.889	-1656.41
679.525	-1710.92
679.159	-1413.75
678.797	-1276.6
678.433	-1113.06
678.067	-546.86
677.703	87.92
677.341	342.89
676.978	332.34
676.613	501.14
676.253	293.65
675.889	-135.4
675.525	-218.04
675.161	114.3
674.798	284.86
674.435	216.28
674.07	448.39
673.709	335.85
673.345	-77.37
672.983	-288.38
672.618	-416.74
672.258	-858.1
671.894	-1244.94
671.528	-1135.92
671.165	-854.58
670.802	-851.06
670.438	-970.63
670.073	-684.02
669.712	-629.51
669.347	-844.03
668.984	-829.96
668.619	-640.06
668.258	-696.32
667.894	-742.04
667.529	-455.42
667.166	-226.83
666.805	-458.94
666.442	-828.2
666.076	-775.45
665.715	-926.67
665.351	-1220.33
664.987	-1158.78
664.622	-708.63
664.26	-471.25
663.897	-508.18
663.531	-244.42
663.171	-240.9
662.806	-430.81
662.443	-362.23
662.078	-152.98
661.718	-274.31
661.354	-429.05
660.989	-179.36
660.625	165.29
660.263	175.84
659.9	-7.03
659.535	123.09
659.174	-28.13
658.81	-413.22
658.447	-541.59
658.083	-541.59
657.722	-872.16
657.359	-1243.19
656.994	-1264.29
656.631	-1216.81
656.269	-1478.81
655.906	-1821.7
655.54	-1723.23
655.179	-1818.18
654.815	-2113.59
654.452	-2173.38
654.088	-2004.57
653.726	-2073.15
653.362	-2236.68
652.996	-1916.65
652.635	-1797.08
652.271	-1911.38
651.908	-1851.59
651.544	-1781.25
651.184	-2136.45
650.82	-2528.57
650.455	-2433.62
650.092	-2164.58
649.729	-2222.61
649.367	-2503.96
